trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
208,False,"{'a': 0.39564332055893475, 'e': 0.35253382661792404}",25,12,8.702644322260788,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
209,False,"{'a': 0.39485203391781687, 'e': 0.3507711574848344}",20,0,-29.00661218054356,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
210,False,"{'a': 0.39406232984998124, 'e': 0.34901730169741024}",20,6,-17.90334267278416,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
211,False,"{'a': 0.3932742051902813, 'e': 0.3472722151889232}",20,6,-44.35973600505063,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
212,False,"{'a': 0.3924876567799007, 'e': 0.3455358541129786}",20,15,9.557340839547255,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.3917026814663409, 'e': 0.3438081748424137}",25,8,12.95631033643143,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
214,False,"{'a': 0.3909192761034082, 'e': 0.3420891339682016}",20,0,-31.71160917961881,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
215,False,"{'a': 0.3901374375512014, 'e': 0.3403786882983606}",20,13,14.744696597312501,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.389357162676099, 'e': 0.3386767948568688}",25,19,12.164848883700481,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.3885784483507468, 'e': 0.33698341088258443}",20,8,-41.5542518702692,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
218,False,"{'a': 0.3878012914540453, 'e': 0.3352984938281715}",20,15,10.991619741810318,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.3870256888711372, 'e': 0.33362200135903064}",25,11,-39.05426955909658,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
220,False,"{'a': 0.3862516374933949, 'e': 0.33195389135223546}",25,5,-17.21658623065767,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
221,False,"{'a': 0.3854791342184081, 'e': 0.3302941218954743}",25,0,-10.149453495363002,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
222,False,"{'a': 0.3847081759499713, 'e': 0.32864265128599696}",25,8,2.8874070810800982,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
223,False,"{'a': 0.3839387595980714, 'e': 0.326999438029567}",25,18,-17.86425274810413,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
224,False,"{'a': 0.38317088207887523, 'e': 0.3253644408394192}",20,6,-30.432983809827554,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
225,False,"{'a': 0.3824045403147175, 'e': 0.3237376186352221}",25,19,11.956170822909307,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.38163973123408806, 'e': 0.322118930542046}",25,10,-12.151028026574808,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
227,False,"{'a': 0.3808764517716199, 'e': 0.32050833588933575}",20,11,6.742501293499775,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.38011469886807664, 'e': 0.31890579420988907}",25,0,21.99771397748853,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
229,False,"{'a': 0.37935446947034046, 'e': 0.3173112652388396}",20,15,10.152021644191457,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.37859576053139976, 'e': 0.3157247089126454}",20,0,-36.508903799847175,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
231,False,"{'a': 0.37783856901033697, 'e': 0.3141460853680822}",25,15,6.009248579698287,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
232,False,"{'a': 0.3770828918723163, 'e': 0.3125753549412418}",20,3,-6.9424384145199465,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
233,False,"{'a': 0.37632872608857165, 'e': 0.31101247816653554}",20,5,28.345079969264628,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.37557606863639453, 'e': 0.30945741577570285}",35,0,-5.309695151655064,"{0: 30, 1: 2, 2: 2, 3: 1, 4: 0}",0
235,False,"{'a': 0.37482491649912175, 'e': 0.3079101286968243}",30,20,7.983949479722217,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
236,False,"{'a': 0.3740752666661235, 'e': 0.3063705780533402}",20,12,9.23577270241373,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.37332711613279124, 'e': 0.30483872516307353}",25,11,25.393020684029054,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.37258046190052563, 'e': 0.3033145315372582}",25,17,17.172203601461913,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.37183530097672457, 'e': 0.3017979588795719}",20,1,17.25604855318179,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.3710916303747711, 'e': 0.30028896908517405}",25,1,-27.73280899455169,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
241,False,"{'a': 0.37034944711402157, 'e': 0.2987875242397482}",20,8,20.569010149523855,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.3696087482197935, 'e': 0.29729358661854943}",25,8,-18.021240465559497,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
243,False,"{'a': 0.36886953072335393, 'e': 0.29580711868545667}",20,5,-9.73055062095868,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
244,False,"{'a': 0.36813179166190724, 'e': 0.2943280830920294}",20,3,26.841503612047013,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.36739552807858344, 'e': 0.29285644267656924}",20,10,11.282527270009702,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.3666607370224263, 'e': 0.2913921604631864}",20,5,-84.31055675192796,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 1}",1
247,False,"{'a': 0.36592741554838143, 'e': 0.28993519966087045}",20,0,-9.213010364462834,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
248,False,"{'a': 0.36519556071728465, 'e': 0.2884855236625661}",35,11,23.94954271191822,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.36446516959585007, 'e': 0.28704309604425327}",20,11,3.333321127991916,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
250,False,"{'a': 0.3637362392566584, 'e': 0.285607880564032}",20,11,15.578541016972313,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.3630087667781451, 'e': 0.28417984116121187}",25,0,-73.62952658516237,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",1
252,False,"{'a': 0.3622827492445888, 'e': 0.2827589419554058}",20,0,2.1418271600312346,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
253,False,"{'a': 0.3615581837460996, 'e': 0.28134514724562876}",20,7,20.397921707159313,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.3608350673786074, 'e': 0.2799384215094006}",25,0,-15.668564150644187,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
255,False,"{'a': 0.36011339724385016, 'e': 0.27853872940185365}",20,14,7.649010170757396,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.3593931704493625, 'e': 0.27714603575484437}",20,6,24.058155777160767,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
